DexNumber,Name,Type1,Type2,GenderRatio (M),GenderRatio (F),BaseStats (HP),BaseStats (Atk),BaseStats (Def),BaseStats (Spa),BaseStats (Spd),BaseStats (Spe),Abilities,Height (m),Weight (kg),Color,EvoLevel,Evos
141,Kabutops,Rock,Water,0.875,0.125,60,115,105,65,70,80,0: Swift Swim 1: Battle Armor H: Weak Armor,1.3,40.5,Brown,40,
142,Aerodactyl,Rock,Flying,0.875,0.125,80,105,65,60,75,130,0: Rock Head 1: Pressure H: Unnerve,1.8,59,Purple,,
143,Snorlax,Normal,null,0.875,0.125,160,110,65,65,110,30,0: Immunity 1: Thick Fat H: Gluttony,2.1,460,Black,,
144,Articuno,Ice,Flying,0.5,0.5,90,85,100,95,125,85,0: Pressure H: Snow Cloak,1.7,55.4,Blue,,
144,Articuno-Galar,Psychic,Flying,0.5,0.5,90,85,85,125,100,95,0: Competitive,1.7,50.9,Purple,,
145,Zapdos,Electric,Flying,0.5,0.5,90,90,85,125,90,100,0: Pressure H: Static,1.6,52.6,Yellow,,
145,Zapdos-Galar,Fighting,Flying,0.5,0.5,90,125,90,85,90,100,0: Defiant,1.6,58.2,Yellow,,
146,Moltres,Fire,Flying,0.5,0.5,90,100,90,125,85,90,0: Pressure H: Flame Body,2,60,Yellow,,
146,Moltres-Galar,Dark,Flying,0.5,0.5,90,85,90,100,125,90,0: Berserk,2,66,Red,,
147,Dratini,Dragon,null,0.5,0.5,41,64,45,50,50,50,0: Shed Skin H: Marvel Scale,1.8,3.3,Blue,,Dragonair
148,Dragonair,Dragon,null,0.5,0.5,61,84,65,70,70,70,0: Shed Skin H: Marvel Scale,4,16.5,Blue,30,Dragonite
149,Dragonite,Dragon,Flying,0.5,0.5,91,134,95,100,100,80,0: Inner Focus H: Multiscale,2.2,210,Brown,55,
150,Mewtwo,Psychic,null,0.5,0.5,106,110,90,154,90,130,0: Pressure H: Unnerve,2,122,Purple,,
151,Mew,Psychic,null,0.5,0.5,100,100,100,100,100,100,0: Synchronize,0.4,4,Pink,,
152,Chikorita,Grass,null,0.875,0.125,45,49,65,49,65,45,0: Overgrow H: Leaf Guard,0.9,6.4,Green,,Bayleef
153,Bayleef,Grass,null,0.875,0.125,60,62,80,63,80,60,0: Overgrow H: Leaf Guard,1.2,15.8,Green,16,Meganium
154,Meganium,Grass,null,0.875,0.125,80,82,100,83,100,80,0: Overgrow H: Leaf Guard,1.8,100.5,Green,32,
155,Cyndaquil,Fire,null,0.875,0.125,39,52,43,60,50,65,0: Blaze H: Flash Fire,0.5,7.9,Yellow,,Quilava
156,Quilava,Fire,null,0.875,0.125,58,64,58,80,65,80,0: Blaze H: Flash Fire,0.9,19,Yellow,14,Typhlosion
157,Typhlosion,Fire,null,0.875,0.125,78,84,78,109,85,100,0: Blaze H: Flash Fire,1.7,79.5,Yellow,36,
157,Typhlosion-Hisui,Fire,Ghost,0.875,0.125,73,84,78,119,85,95,0: Blaze H: Frisk,1.6,69.8,Yellow,36,
158,Totodile,Water,null,0.875,0.125,50,65,64,44,48,43,0: Torrent H: Sheer Force,0.6,9.5,Blue,,Croconaw
159,Croconaw,Water,null,0.875,0.125,65,80,80,59,63,58,0: Torrent H: Sheer Force,1.1,25,Blue,18,Feraligatr
160,Feraligatr,Water,null,0.875,0.125,85,105,100,79,83,78,0: Torrent H: Sheer Force,2.3,88.8,Blue,30,
161,Sentret,Normal,null,0.5,0.5,35,46,34,35,45,20,0: Run Away 1: Keen Eye H: Frisk,0.8,6,Brown,,Furret
162,Furret,Normal,null,0.5,0.5,85,76,64,45,55,90,0: Run Away 1: Keen Eye H: Frisk,1.8,32.5,Brown,15,
163,Hoothoot,Normal,Flying,0.5,0.5,60,30,30,36,56,50,0: Insomnia 1: Keen Eye H: Tinted Lens,0.7,21.2,Brown,,Noctowl
164,Noctowl,Normal,Flying,0.5,0.5,100,50,50,86,96,70,0: Insomnia 1: Keen Eye H: Tinted Lens,1.6,40.8,Brown,20,
165,Ledyba,Bug,Flying,0.5,0.5,40,20,30,40,80,55,0: Swarm 1: Early Bird H: Rattled,1,10.8,Red,,Ledian
166,Ledian,Bug,Flying,0.5,0.5,55,35,50,55,110,85,0: Swarm 1: Early Bird H: Iron Fist,1.4,35.6,Red,18,
167,Spinarak,Bug,Poison,0.5,0.5,40,60,40,40,40,30,0: Swarm 1: Insomnia H: Sniper,0.5,8.5,Green,,Ariados
168,Ariados,Bug,Poison,0.5,0.5,70,90,70,60,70,40,0: Swarm 1: Insomnia H: Sniper,1.1,33.5,Red,22,
169,Crobat,Poison,Flying,0.5,0.5,85,90,80,70,80,130,0: Inner Focus H: Infiltrator,1.8,75,Purple,,
170,Chinchou,Water,Electric,0.5,0.5,75,38,38,56,56,67,0: Volt Absorb 1: Illuminate H: Water Absorb,0.5,12,Blue,,Lanturn
171,Lanturn,Water,Electric,0.5,0.5,125,58,58,76,76,67,0: Volt Absorb 1: Illuminate H: Water Absorb,1.2,22.5,Blue,27,
172,Pichu,Electric,null,0.5,0.5,20,40,15,35,35,60,0: Static H: Lightning Rod,0.3,2,Yellow,,Pikachu
172,Pichu-Spiky-eared,Electric,null,0.5,0.5,20,40,15,35,35,60,0: Static,0.3,2,Yellow,,
173,Cleffa,Fairy,null,0.25,0.75,50,25,28,45,55,15,0: Cute Charm 1: Magic Guard H: Friend Guard,0.3,3,Pink,,Clefairy
174,Igglybuff,Normal,Fairy,0.25,0.75,90,30,15,40,20,15,0: Cute Charm 1: Competitive H: Friend Guard,0.3,1,Pink,,Jigglypuff
175,Togepi,Fairy,null,0.875,0.125,35,20,65,40,65,20,0: Hustle 1: Serene Grace H: Super Luck,0.3,1.5,White,,Togetic
176,Togetic,Fairy,Flying,0.875,0.125,55,40,85,80,105,40,0: Hustle 1: Serene Grace H: Super Luck,0.6,3.2,White,,Togekiss
177,Natu,Psychic,Flying,0.5,0.5,40,50,45,70,45,70,0: Synchronize 1: Early Bird H: Magic Bounce,0.2,2,Green,,Xatu
178,Xatu,Psychic,Flying,0.5,0.5,65,75,70,95,70,95,0: Synchronize 1: Early Bird H: Magic Bounce,1.5,15,Green,25,
179,Mareep,Electric,null,0.5,0.5,55,40,40,65,45,35,0: Static H: Plus,0.6,7.8,White,,Flaaffy
180,Flaaffy,Electric,null,0.5,0.5,70,55,55,80,60,45,0: Static H: Plus,0.8,13.3,Pink,15,Ampharos
181,Ampharos,Electric,null,0.5,0.5,90,75,85,115,90,55,0: Static H: Plus,1.4,61.5,Yellow,30,
182,Bellossom,Grass,null,0.5,0.5,75,80,95,90,100,50,0: Chlorophyll H: Healer,0.4,5.8,Green,,
183,Marill,Water,Fairy,0.5,0.5,70,20,50,20,50,40,0: Thick Fat 1: Huge Power H: Sap Sipper,0.4,8.5,Blue,,Azumarill
184,Azumarill,Water,Fairy,0.5,0.5,100,50,80,60,80,50,0: Thick Fat 1: Huge Power H: Sap Sipper,0.8,28.5,Blue,18,
185,Sudowoodo,Rock,null,0.5,0.5,70,100,115,30,65,30,0: Sturdy 1: Rock Head H: Rattled,1.2,38,Brown,,
186,Politoed,Water,null,0.5,0.5,90,75,75,90,100,70,0: Water Absorb 1: Damp H: Drizzle,1.1,33.9,Green,,
187,Hoppip,Grass,Flying,0.5,0.5,35,35,40,35,55,50,0: Chlorophyll 1: Leaf Guard H: Infiltrator,0.4,0.5,Pink,,Skiploom
188,Skiploom,Grass,Flying,0.5,0.5,55,45,50,45,65,80,0: Chlorophyll 1: Leaf Guard H: Infiltrator,0.6,1,Green,18,Jumpluff
189,Jumpluff,Grass,Flying,0.5,0.5,75,55,70,55,95,110,0: Chlorophyll 1: Leaf Guard H: Infiltrator,0.8,3,Blue,27,
190,Aipom,Normal,null,0.5,0.5,55,70,55,40,55,85,0: Run Away 1: Pickup H: Skill Link,0.8,11.5,Purple,,Ambipom
191,Sunkern,Grass,null,0.5,0.5,30,30,30,30,30,30,0: Chlorophyll 1: Solar Power H: Early Bird,0.3,1.8,Yellow,,Sunflora
192,Sunflora,Grass,null,0.5,0.5,75,75,55,105,85,30,0: Chlorophyll 1: Solar Power H: Early Bird,0.8,8.5,Yellow,,
193,Yanma,Bug,Flying,0.5,0.5,65,65,45,75,45,95,0: Speed Boost 1: Compound Eyes H: Frisk,1.2,38,Red,,Yanmega
194,Wooper,Water,Ground,0.5,0.5,55,45,45,25,25,15,0: Damp 1: Water Absorb H: Unaware,0.4,8.5,Blue,,Quagsire
194,Wooper-Paldea,Poison,Ground,0.5,0.5,55,45,45,25,25,15,0: Poison Point 1: Water Absorb H: Unaware,0.4,11,Brown,,Clodsire
195,Quagsire,Water,Ground,0.5,0.5,95,85,85,65,65,35,0: Damp 1: Water Absorb H: Unaware,1.4,75,Blue,20,
196,Espeon,Psychic,null,0.875,0.125,65,65,60,130,95,110,0: Synchronize H: Magic Bounce,0.9,26.5,Purple,,
197,Umbreon,Dark,null,0.875,0.125,95,65,110,60,130,65,0: Synchronize H: Inner Focus,1,27,Black,,
198,Murkrow,Dark,Flying,0.5,0.5,60,85,42,85,42,91,0: Insomnia 1: Super Luck H: Prankster,0.5,2.1,Black,,Honchkrow
199,Slowking,Water,Psychic,0.5,0.5,95,75,80,100,110,30,0: Oblivious 1: Own Tempo H: Regenerator,2,79.5,Pink,,
199,Slowking-Galar,Poison,Psychic,0.5,0.5,95,65,80,110,110,30,0: Curious Medicine 1: Own Tempo H: Regenerator,1.8,79.5,Pink,,
200,Misdreavus,Ghost,null,0.5,0.5,60,60,60,85,85,85,0: Levitate,0.7,1,Gray,,Mismagius
201,Unown,Psychic,null,0.5,0.5,48,72,48,72,48,48,0: Levitate,0.5,5,Black,,
202,Wobbuffet,Psychic,null,0.5,0.5,190,33,58,33,58,33,0: Shadow Tag H: Telepathy,1.3,28.5,Blue,15,
203,Girafarig,Normal,Psychic,0.5,0.5,70,80,65,90,65,85,0: Inner Focus 1: Early Bird H: Sap Sipper,1.5,41.5,Yellow,,Farigiraf
204,Pineco,Bug,null,0.5,0.5,50,65,90,35,35,15,0: Sturdy H: Overcoat,0.6,7.2,Gray,,Forretress
205,Forretress,Bug,Steel,0.5,0.5,75,90,140,60,60,40,0: Sturdy H: Overcoat,1.2,125.8,Purple,31,
206,Dunsparce,Normal,null,0.5,0.5,100,70,70,65,65,45,0: Serene Grace 1: Run Away H: Rattled,1.5,14,Yellow,,Dudunsparce
207,Gligar,Ground,Flying,0.5,0.5,65,75,105,35,65,85,0: Hyper Cutter 1: Sand Veil H: Immunity,1.1,64.8,Purple,,Gliscor
208,Steelix,Steel,Ground,0.5,0.5,75,85,200,55,65,30,0: Rock Head 1: Sturdy H: Sheer Force,9.2,400,Gray,,
209,Snubbull,Fairy,null,0.25,0.75,60,80,50,40,40,30,0: Intimidate 1: Run Away H: Rattled,0.6,7.8,Pink,,Granbull
210,Granbull,Fairy,null,0.25,0.75,90,120,75,60,60,45,0: Intimidate 1: Quick Feet H: Rattled,1.4,48.7,Purple,23,
211,Qwilfish,Water,Poison,0.5,0.5,65,95,85,55,55,85,0: Poison Point 1: Swift Swim H: Intimidate,0.5,3.9,Gray,,
211,Qwilfish-Hisui,Dark,Poison,0.5,0.5,65,95,85,55,55,85,0: Poison Point 1: Swift Swim H: Intimidate,0.5,3.9,Black,,Overqwil
212,Scizor,Bug,Steel,0.5,0.5,70,130,100,55,80,65,0: Swarm 1: Technician H: Light Metal,1.8,118,Red,,
213,Shuckle,Bug,Rock,0.5,0.5,20,10,230,10,230,5,0: Sturdy 1: Gluttony H: Contrary,0.6,20.5,Yellow,,
214,Heracross,Bug,Fighting,0.5,0.5,80,125,75,40,95,85,0: Swarm 1: Guts H: Moxie,1.5,54,Blue,,
215,Sneasel,Dark,Ice,0.5,0.5,55,95,55,35,75,115,0: Inner Focus 1: Keen Eye H: Pickpocket,0.9,28,Black,,Weavile
215,Sneasel-Hisui,Fighting,Poison,0.5,0.5,55,95,55,35,75,115,0: Inner Focus 1: Keen Eye H: Pickpocket,0.9,27,Gray,,Sneasler
216,Teddiursa,Normal,null,0.5,0.5,60,80,50,50,50,40,0: Pickup 1: Quick Feet H: Honey Gather,0.6,8.8,Brown,,Ursaring
217,Ursaring,Normal,null,0.5,0.5,90,130,75,75,75,55,0: Guts 1: Quick Feet H: Unnerve,1.8,125.8,Brown,30,Ursaluna
218,Slugma,Fire,null,0.5,0.5,40,40,40,70,40,20,0: Magma Armor 1: Flame Body H: Weak Armor,0.7,35,Red,,Magcargo
219,Magcargo,Fire,Rock,0.5,0.5,60,50,120,90,80,30,0: Magma Armor 1: Flame Body H: Weak Armor,0.8,55,Red,38,
220,Swinub,Ice,Ground,0.5,0.5,50,50,40,30,30,50,0: Oblivious 1: Snow Cloak H: Thick Fat,0.4,6.5,Brown,,Piloswine
221,Piloswine,Ice,Ground,0.5,0.5,100,100,80,60,60,50,0: Oblivious 1: Snow Cloak H: Thick Fat,1.1,55.8,Brown,33,Mamoswine
222,Corsola,Water,Rock,0.25,0.75,65,55,95,65,95,35,0: Hustle 1: Natural Cure H: Regenerator,0.6,5,Pink,,
222,Corsola-Galar,Ghost,null,0.25,0.75,60,55,100,65,100,30,0: Weak Armor H: Cursed Body,0.6,0.5,White,,Cursola
223,Remoraid,Water,null,0.5,0.5,35,65,35,65,35,65,0: Hustle 1: Sniper H: Moody,0.6,12,Gray,,Octillery
224,Octillery,Water,null,0.5,0.5,75,105,75,105,75,45,0: Suction Cups 1: Sniper H: Moody,0.9,28.5,Red,25,
225,Delibird,Ice,Flying,0.5,0.5,45,55,45,65,45,75,0: Vital Spirit 1: Hustle H: Insomnia,0.9,16,Red,,
226,Mantine,Water,Flying,0.5,0.5,85,40,70,80,140,70,0: Swift Swim 1: Water Absorb H: Water Veil,2.1,220,Purple,,
227,Skarmory,Steel,Flying,0.5,0.5,65,80,140,40,70,70,0: Keen Eye 1: Sturdy H: Weak Armor,1.7,50.5,Gray,,
228,Houndour,Dark,Fire,0.5,0.5,45,60,30,80,50,65,0: Early Bird 1: Flash Fire H: Unnerve,0.6,10.8,Black,,Houndoom
229,Houndoom,Dark,Fire,0.5,0.5,75,90,50,110,80,95,0: Early Bird 1: Flash Fire H: Unnerve,1.4,35,Black,24,
230,Kingdra,Water,Dragon,0.5,0.5,75,95,95,95,95,85,0: Swift Swim 1: Sniper H: Damp,1.8,152,Blue,,
231,Phanpy,Ground,null,0.5,0.5,90,60,60,40,40,40,0: Pickup H: Sand Veil,0.5,33.5,Blue,,Donphan
232,Donphan,Ground,null,0.5,0.5,90,120,120,60,60,50,0: Sturdy H: Sand Veil,1.1,120,Gray,25,
233,Porygon2,Normal,null,0.5,0.5,85,80,90,105,95,60,0: Trace 1: Download H: Analytic,0.6,32.5,Red,,Porygon-Z
234,Stantler,Normal,null,0.5,0.5,73,95,62,85,65,85,0: Intimidate 1: Frisk H: Sap Sipper,1.4,71.2,Brown,,Wyrdeer
235,Smeargle,Normal,null,0.5,0.5,55,20,35,20,45,75,0: Own Tempo 1: Technician H: Moody,1.2,58,White,,
236,Tyrogue,Fighting,null,0.5,0.5,35,35,35,35,35,35,0: Guts 1: Steadfast H: Vital Spirit,0.7,21,Purple,,Hitmonlee
237,Hitmontop,Fighting,null,0.5,0.5,50,95,95,35,110,70,0: Intimidate 1: Technician H: Steadfast,1.4,48,Brown,20,
238,Smoochum,Ice,Psychic,0.5,0.5,45,30,15,85,65,65,0: Oblivious 1: Forewarn H: Hydration,0.4,6,Pink,,Jynx
239,Elekid,Electric,null,0.75,0.25,45,63,37,65,55,95,0: Static H: Vital Spirit,0.6,23.5,Yellow,,Electabuzz
240,Magby,Fire,null,0.75,0.25,45,75,37,70,55,83,0: Flame Body H: Vital Spirit,0.7,21.4,Red,,Magmar
241,Miltank,Normal,null,0.5,0.5,95,80,105,40,70,100,0: Thick Fat 1: Scrappy H: Sap Sipper,1.2,75.5,Pink,,
242,Blissey,Normal,null,0.5,0.5,255,10,10,75,135,55,0: Natural Cure 1: Serene Grace H: Healer,1.5,46.8,Pink,,
243,Raikou,Electric,null,0.5,0.5,90,85,75,115,100,115,0: Pressure H: Inner Focus,1.9,178,Yellow,,
244,Entei,Fire,null,0.5,0.5,115,115,85,90,75,100,0: Pressure H: Inner Focus,2.1,198,Brown,,
245,Suicune,Water,null,0.5,0.5,100,75,115,90,115,85,0: Pressure H: Inner Focus,2,187,Blue,,
246,Larvitar,Rock,Ground,0.5,0.5,50,64,50,45,50,41,0: Guts H: Sand Veil,0.6,72,Green,,Pupitar
247,Pupitar,Rock,Ground,0.5,0.5,70,84,70,65,70,51,0: Shed Skin,1.2,152,Gray,30,Tyranitar
248,Tyranitar,Rock,Dark,0.5,0.5,100,134,110,95,100,61,0: Sand Stream H: Unnerve,2,202,Green,55,
249,Lugia,Psychic,Flying,0.5,0.5,106,90,130,90,154,110,0: Pressure H: Multiscale,5.2,216,White,,
250,Ho-Oh,Fire,Flying,0.5,0.5,106,130,90,110,154,90,0: Pressure H: Regenerator,3.8,199,Red,,
251,Celebi,Psychic,Grass,0.5,0.5,100,100,100,100,100,100,0: Natural Cure,0.6,5,Green,,
252,Treecko,Grass,null,0.875,0.125,40,45,35,65,55,70,0: Overgrow H: Unburden,0.5,5,Green,,Grovyle
253,Grovyle,Grass,null,0.875,0.125,50,65,45,85,65,95,0: Overgrow H: Unburden,0.9,21.6,Green,16,Sceptile
254,Sceptile,Grass,null,0.875,0.125,70,85,65,105,85,120,0: Overgrow H: Unburden,1.7,52.2,Green,36,
255,Torchic,Fire,null,0.875,0.125,45,60,40,70,50,45,0: Blaze H: Speed Boost,0.4,2.5,Red,,Combusken
256,Combusken,Fire,Fighting,0.875,0.125,60,85,60,85,60,55,0: Blaze H: Speed Boost,0.9,19.5,Red,16,Blaziken
257,Blaziken,Fire,Fighting,0.875,0.125,80,120,70,110,70,80,0: Blaze H: Speed Boost,1.9,52,Red,36,
258,Mudkip,Water,null,0.875,0.125,50,70,50,50,50,40,0: Torrent H: Damp,0.4,7.6,Blue,,Marshtomp
259,Marshtomp,Water,Ground,0.875,0.125,70,85,70,60,70,50,0: Torrent H: Damp,0.7,28,Blue,16,Swampert
260,Swampert,Water,Ground,0.875,0.125,100,110,90,85,90,60,0: Torrent H: Damp,1.5,81.9,Blue,36,
261,Poochyena,Dark,null,0.5,0.5,35,55,35,30,30,35,0: Run Away 1: Quick Feet H: Rattled,0.5,13.6,Gray,,Mightyena
262,Mightyena,Dark,null,0.5,0.5,70,90,70,60,60,70,0: Intimidate 1: Quick Feet H: Moxie,1,37,Gray,18,
263,Zigzagoon,Normal,null,0.5,0.5,38,30,41,30,41,60,0: Pickup 1: Gluttony H: Quick Feet,0.4,17.5,Brown,,Linoone
263,Zigzagoon-Galar,Dark,Normal,0.5,0.5,38,30,41,30,41,60,0: Pickup 1: Gluttony H: Quick Feet,0.4,17.5,White,,Linoone-Galar
264,Linoone,Normal,null,0.5,0.5,78,70,61,50,61,100,0: Pickup 1: Gluttony H: Quick Feet,0.5,32.5,White,20,
264,Linoone-Galar,Dark,Normal,0.5,0.5,78,70,61,50,61,100,0: Pickup 1: Gluttony H: Quick Feet,0.5,32.5,White,20,Obstagoon
265,Wurmple,Bug,null,0.5,0.5,45,45,35,20,30,20,0: Shield Dust H: Run Away,0.3,3.6,Red,,Silcoon
266,Silcoon,Bug,null,0.5,0.5,50,35,55,25,25,15,0: Shed Skin,0.6,10,White,7,Beautifly
267,Beautifly,Bug,Flying,0.5,0.5,60,70,50,100,50,65,0: Swarm H: Rivalry,1,28.4,Yellow,10,
268,Cascoon,Bug,null,0.5,0.5,50,35,55,25,25,15,0: Shed Skin,0.7,11.5,Purple,7,Dustox
269,Dustox,Bug,Poison,0.5,0.5,60,50,70,50,90,65,0: Shield Dust H: Compound Eyes,1.2,31.6,Green,10,
270,Lotad,Water,Grass,0.5,0.5,40,30,30,40,50,30,0: Swift Swim 1: Rain Dish H: Own Tempo,0.5,2.6,Green,,Lombre
271,Lombre,Water,Grass,0.5,0.5,60,50,50,60,70,50,0: Swift Swim 1: Rain Dish H: Own Tempo,1.2,32.5,Green,14,Ludicolo
272,Ludicolo,Water,Grass,0.5,0.5,80,70,70,90,100,70,0: Swift Swim 1: Rain Dish H: Own Tempo,1.5,55,Green,,
273,Seedot,Grass,null,0.5,0.5,40,40,50,30,30,30,0: Chlorophyll 1: Early Bird H: Pickpocket,0.5,4,Brown,,Nuzleaf
274,Nuzleaf,Grass,Dark,0.5,0.5,70,70,40,60,40,60,0: Chlorophyll 1: Early Bird H: Pickpocket,1,28,Brown,14,Shiftry
275,Shiftry,Grass,Dark,0.5,0.5,90,100,60,90,60,80,0: Chlorophyll 1: Wind Rider H: Pickpocket,1.3,59.6,Brown,,
276,Taillow,Normal,Flying,0.5,0.5,40,55,30,30,30,85,0: Guts H: Scrappy,0.3,2.3,Blue,,Swellow
277,Swellow,Normal,Flying,0.5,0.5,60,85,60,75,50,125,0: Guts H: Scrappy,0.7,19.8,Blue,22,
278,Wingull,Water,Flying,0.5,0.5,40,30,30,55,30,85,0: Keen Eye 1: Hydration H: Rain Dish,0.6,9.5,White,,Pelipper
279,Pelipper,Water,Flying,0.5,0.5,60,50,100,95,70,65,0: Keen Eye 1: Drizzle H: Rain Dish,1.2,28,Yellow,25,
280,Ralts,Psychic,Fairy,0.5,0.5,28,25,25,45,35,40,0: Synchronize 1: Trace H: Telepathy,0.4,6.6,White,,Kirlia
281,Kirlia,Psychic,Fairy,0.5,0.5,38,35,35,65,55,50,0: Synchronize 1: Trace H: Telepathy,0.8,20.2,White,20,Gardevoir
282,Gardevoir,Psychic,Fairy,0.5,0.5,68,65,65,125,115,80,0: Synchronize 1: Trace H: Telepathy,1.6,48.4,White,30,
283,Surskit,Bug,Water,0.5,0.5,40,30,32,50,52,65,0: Swift Swim H: Rain Dish,0.5,1.7,Blue,,Masquerain
284,Masquerain,Bug,Flying,0.5,0.5,70,60,62,100,82,80,0: Intimidate H: Unnerve,0.8,3.6,Blue,22,
285,Shroomish,Grass,null,0.5,0.5,60,40,60,40,60,35,0: Effect Spore 1: Poison Heal H: Quick Feet,0.4,4.5,Brown,,Breloom
286,Breloom,Grass,Fighting,0.5,0.5,60,130,80,60,60,70,0: Effect Spore 1: Poison Heal H: Technician,1.2,39.2,Green,23,
287,Slakoth,Normal,null,0.5,0.5,60,60,60,35,35,30,0: Truant,0.8,24,Brown,,Vigoroth
288,Vigoroth,Normal,null,0.5,0.5,80,80,80,55,55,90,0: Vital Spirit,1.4,46.5,White,18,Slaking
289,Slaking,Normal,null,0.5,0.5,150,160,100,95,65,100,0: Truant,2,130.5,Brown,36,
290,Nincada,Bug,Ground,0.5,0.5,31,45,90,30,30,40,0: Compound Eyes H: Run Away,0.5,5.5,Gray,,Ninjask
291,Ninjask,Bug,Flying,0.5,0.5,61,90,45,50,50,160,0: Speed Boost H: Infiltrator,0.8,12,Yellow,20,
292,Shedinja,Bug,Ghost,0.5,0.5,1,90,45,30,30,40,0: Wonder Guard,0.8,1.2,Brown,20,
293,Whismur,Normal,null,0.5,0.5,64,51,23,51,23,28,0: Soundproof H: Rattled,0.6,16.3,Pink,,Loudred
294,Loudred,Normal,null,0.5,0.5,84,71,43,71,43,48,0: Soundproof H: Scrappy,1,40.5,Blue,20,Exploud
295,Exploud,Normal,null,0.5,0.5,104,91,63,91,73,68,0: Soundproof H: Scrappy,1.5,84,Blue,40,
296,Makuhita,Fighting,null,0.75,0.25,72,60,30,20,30,25,0: Thick Fat 1: Guts H: Sheer Force,1,86.4,Yellow,,Hariyama
297,Hariyama,Fighting,null,0.75,0.25,144,120,60,40,60,50,0: Thick Fat 1: Guts H: Sheer Force,2.3,253.8,Brown,24,
298,Azurill,Normal,Fairy,0.25,0.75,50,20,40,20,40,20,0: Thick Fat 1: Huge Power H: Sap Sipper,0.2,2,Blue,,Marill
299,Nosepass,Rock,null,0.5,0.5,30,45,135,45,90,30,0: Sturdy 1: Magnet Pull H: Sand Force,1,97,Gray,,Probopass
300,Skitty,Normal,null,0.25,0.75,50,45,45,35,35,50,0: Cute Charm 1: Normalize H: Wonder Skin,0.6,11,Pink,,Delcatty
301,Delcatty,Normal,null,0.25,0.75,70,65,65,55,55,90,0: Cute Charm 1: Normalize H: Wonder Skin,1.1,32.6,Purple,,
302,Sableye,Dark,Ghost,0.5,0.5,50,75,75,65,65,50,0: Keen Eye 1: Stall H: Prankster,0.5,11,Purple,,
303,Mawile,Steel,Fairy,0.5,0.5,50,85,85,55,55,50,0: Hyper Cutter 1: Intimidate H: Sheer Force,0.6,11.5,Black,,
304,Aron,Steel,Rock,0.5,0.5,50,70,100,40,40,30,0: Sturdy 1: Rock Head H: Heavy Metal,0.4,60,Gray,,Lairon
305,Lairon,Steel,Rock,0.5,0.5,60,90,140,50,50,40,0: Sturdy 1: Rock Head H: Heavy Metal,0.9,120,Gray,32,Aggron
306,Aggron,Steel,Rock,0.5,0.5,70,110,180,60,60,50,0: Sturdy 1: Rock Head H: Heavy Metal,2.1,360,Gray,42,
307,Meditite,Fighting,Psychic,0.5,0.5,30,40,55,40,55,60,0: Pure Power H: Telepathy,0.6,11.2,Blue,,Medicham
308,Medicham,Fighting,Psychic,0.5,0.5,60,60,75,60,75,80,0: Pure Power H: Telepathy,1.3,31.5,Red,37,
309,Electrike,Electric,null,0.5,0.5,40,45,40,65,40,65,0: Static 1: Lightning Rod H: Minus,0.6,15.2,Green,,Manectric
310,Manectric,Electric,null,0.5,0.5,70,75,60,105,60,105,0: Static 1: Lightning Rod H: Minus,1.5,40.2,Yellow,26,
311,Plusle,Electric,null,0.5,0.5,60,50,40,85,75,95,0: Plus H: Lightning Rod,0.4,4.2,Yellow,,
312,Minun,Electric,null,0.5,0.5,60,40,50,75,85,95,0: Minus H: Volt Absorb,0.4,4.2,Yellow,,
313,Volbeat,Bug,null,0.5,0.5,65,73,75,47,85,85,0: Illuminate 1: Swarm H: Prankster,0.7,17.7,Gray,,
314,Illumise,Bug,null,0.5,0.5,65,47,75,73,85,85,0: Oblivious 1: Tinted Lens H: Prankster,0.6,17.7,Purple,,
315,Roselia,Grass,Poison,0.5,0.5,50,60,45,100,80,65,0: Natural Cure 1: Poison Point H: Leaf Guard,0.3,2,Green,,Roserade
316,Gulpin,Poison,null,0.5,0.5,70,43,53,43,53,40,0: Liquid Ooze 1: Sticky Hold H: Gluttony,0.4,10.3,Green,,Swalot
317,Swalot,Poison,null,0.5,0.5,100,73,83,73,83,55,0: Liquid Ooze 1: Sticky Hold H: Gluttony,1.7,80,Purple,26,
318,Carvanha,Water,Dark,0.5,0.5,45,90,20,65,20,65,0: Rough Skin H: Speed Boost,0.8,20.8,Red,,Sharpedo
319,Sharpedo,Water,Dark,0.5,0.5,70,120,40,95,40,95,0: Rough Skin H: Speed Boost,1.8,88.8,Blue,30,
320,Wailmer,Water,null,0.5,0.5,130,70,35,70,35,60,0: Water Veil 1: Oblivious H: Pressure,2,130,Blue,,Wailord
321,Wailord,Water,null,0.5,0.5,170,90,45,90,45,60,0: Water Veil 1: Oblivious H: Pressure,14.5,398,Blue,40,
322,Numel,Fire,Ground,0.5,0.5,60,60,40,65,45,35,0: Oblivious 1: Simple H: Own Tempo,0.7,24,Yellow,,Camerupt
323,Camerupt,Fire,Ground,0.5,0.5,70,100,70,105,75,40,0: Magma Armor 1: Solid Rock H: Anger Point,1.9,220,Red,33,
324,Torkoal,Fire,null,0.5,0.5,70,85,140,85,70,20,0: White Smoke 1: Drought H: Shell Armor,0.5,80.4,Brown,,
325,Spoink,Psychic,null,0.5,0.5,60,25,35,70,80,60,0: Thick Fat 1: Own Tempo H: Gluttony,0.7,30.6,Black,,Grumpig
